,,,,,,,Daily Price Arrival Report-07-11-2025 to 26-02-2026 for Maharashtra,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,000.00","1,200.00","1,100.00",Rs./Quintal,33.00,Metric Tonnes,04-02-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,000.00","1,700.00","1,300.00",Rs./Quintal,9.00,Metric Tonnes,03-12-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,700.00,"1,200.00","1,000.00",Rs./Quintal,22.80,Metric Tonnes,03-02-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,300.00","1,800.00","1,500.00",Rs./Quintal,54.60,Metric Tonnes,02-12-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,500.00,"1,200.00",800.00,Rs./Quintal,29.50,Metric Tonnes,01-02-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,800.00,"1,500.00","1,150.00",Rs./Quintal,9.90,Metric Tonnes,31-01-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,500.00","3,000.00","2,250.00",Rs./Quintal,6.30,Metric Tonnes,30-12-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,600.00","2,500.00","2,050.00",Rs./Quintal,2.90,Metric Tonnes,30-11-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,5.30,Metric Tonnes,29-12-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,700.00","2,500.00","2,100.00",Rs./Quintal,7.30,Metric Tonnes,29-11-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,2.30,Metric Tonnes,28-12-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,800.00,"1,200.00","1,000.00",Rs./Quintal,4.70,Metric Tonnes,28-01-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"2,000.00","2,500.00","2,250.00",Rs./Quintal,6.50,Metric Tonnes,27-11-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,800.00,"1,500.00","1,150.00",Rs./Quintal,13.30,Metric Tonnes,27-01-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,4.70,Metric Tonnes,26-11-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,800.00,"2,000.00","1,400.00",Rs./Quintal,5.40,Metric Tonnes,26-01-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"2,000.00","2,500.00","2,250.00",Rs./Quintal,3.80,Metric Tonnes,25-11-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,800.00,"1,500.00","1,150.00",Rs./Quintal,5.50,Metric Tonnes,25-02-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,900.00","2,500.00","2,200.00",Rs./Quintal,7.00,Metric Tonnes,24-11-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,9.50,Metric Tonnes,24-02-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,200.00","2,000.00","1,600.00",Rs./Quintal,9.40,Metric Tonnes,24-01-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,600.00","1,600.00","1,600.00",Rs./Quintal,0.20,Metric Tonnes,23-12-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"2,000.00","2,000.00","2,000.00",Rs./Quintal,1.50,Metric Tonnes,23-11-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,500.00,"2,000.00","1,250.00",Rs./Quintal,6.10,Metric Tonnes,23-02-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,500.00,"2,500.00","1,500.00",Rs./Quintal,4.00,Metric Tonnes,22-12-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,0.80,Metric Tonnes,22-11-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,6.90,Metric Tonnes,22-02-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,10.70,Metric Tonnes,22-01-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,000.00","1,300.00","1,150.00",Rs./Quintal,20.40,Metric Tonnes,21-02-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,3.60,Metric Tonnes,21-01-2026
